City,Lat,Lon,Zipcode
Chicago,41.926567,-87.671044,60614
Chicago,41.800037,-87.595488,60615
Chicago,41.931009,-87.648634,60657
Chicago,41.868211,-87.638782,60607
Chicago,41.997615,-87.703919,60645
Chicago,41.835483,-87.625555,60616
Chicago,41.835203,-87.626095,60616
Chicago,41.836054,-87.625831,60616
Chicago,41.930398,-87.709828,60647
Chicago,41.930737,-87.709924,60647
Chicago,41.911074,-87.648427,60614
Chicago,41.96174,-87.669026,60640
Chicago,41.965135,-87.666528,60640
Chicago,41.965583,-87.659133,60640
Chicago,41.919938,-87.716729,60647
Chicago,41.929468,-87.70832,60647
Chicago,41.929376,-87.708186,60647
Chicago,41.917152,-87.716914,60647
Chicago,41.924178,-87.726903,60639
Chicago,41.924349,-87.725182,60647
Chicago,41.924312,-87.723735,60647
Chicago,41.924371,-87.723967,60647
Chicago,41.924363,-87.724101,60647
Chicago,41.924714,-87.721729,60647
Chicago,41.924391,-87.721541,60647
Chicago,41.924371,-87.722308,60647
Chicago,41.924351,-87.722539,60647
Chicago,41.924347,-87.722802,60647
Chicago,41.924403,-87.721729,60647
Chicago,41.899239,-87.691747,60622
Chicago,41.799707,-87.588449,60615
Chicago,41.943934,-87.663731,60657
Chicago,41.94423,-87.663764,60657
Chicago,41.944432,-87.663808,60657
Chicago,41.961294,-87.65348,60613
Chicago,42.008097,-87.667059,60626
Chicago,41.831001,-87.676104,60608
Chicago,41.994421,-87.658535,60660
Chicago,41.995824,-87.660152,60660
Chicago,41.996227,-87.659476,60660
Chicago,41.993865,-87.669847,60660
Chicago,41.993663,-87.669854,60660
Chicago,41.975335,-87.7181,60625
Chicago,41.981327,-87.718604,60625
Chicago,41.837734,-87.646054,60608
Chicago,41.91173,-87.634895,60610
Chicago,41.866543,-87.714448,60624
Chicago,41.892171,-87.628573,60654
Chicago,41.976465,-87.692686,60625
Chicago,41.938883,-87.644646,60657
Chicago,41.938666,-87.69703,60618
Chicago,41.930801,-87.644209,60657
Chicago,41.680248,-87.664606,60643
Chicago,41.920789,-87.721951,60647
Chicago,41.921944,-87.72167,60647
Chicago,41.720275,-87.582772,60617
Chicago,41.926661,-87.788267,60639
Chicago,41.953669,-87.748582,60641
Chicago,41.953551,-87.750458,60641
Chicago,41.95358,-87.751236,60641
Chicago,41.953579,-87.751402,60641
Chicago,41.953619,-87.750574,60641
Chicago,41.803388,-87.705724,60632
Chicago,41.967815,-87.708704,60625
Chicago,41.965701,-87.708751,60625
Chicago,41.955008,-87.707728,60618
Chicago,41.986611,-87.669265,60660
Chicago,41.934104,-87.644651,60657
Chicago,41.936778,-87.648519,60657
Chicago,41.906099,-87.634326,60610
